route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
23,2,1762215899704,"Barrio Samoré",9338,0,"",8773
23,2,1762215899873,"Barrio Samoré",9339,0,"",8773
23,2,1762215900042,"Barrio Samoré",9340,0,"",8773
23,2,1762215900068,"Barrio Samoré",9341,0,"",8773
23,2,1762215900094,"Barrio Samoré",9342,0,"",8773
23,2,1762215900211,"Barrio Samoré",9343,0,"",8773
23,2,1762215900224,"Barrio Samoré",9344,0,"",8773
23,2,1762215900237,"Barrio Samoré",9345,0,"",8773
23,2,1762215900250,"Barrio Samoré",9346,0,"",8773
23,2,1762215900263,"Barrio Samoré",9347,0,"",8773
23,2,1762215900276,"Barrio Samoré",9348,0,"",8773
23,2,1762215900380,"Barrio Samoré",9349,0,"",8773
23,2,1762215900393,"Barrio Samoré",9350,0,"",8773
23,2,1762215900406,"Barrio Samoré",9351,0,"",8773
23,2,1762215900419,"Barrio Samoré",9352,0,"",8773
23,2,1762215900432,"Barrio Samoré",9353,0,"",8773
23,2,1762215900445,"Barrio Samoré",9354,0,"",8773
23,2,1762215900549,"Barrio Samoré",9355,0,"",8773
23,2,1762215900554,"Barrio Samoré",9356,0,"",8773
23,2,1762215900562,"Barrio Samoré",9357,0,"",8773
23,2,1762215900567,"Barrio Samoré",9358,0,"",8773
23,2,1762215900575,"Barrio Samoré",9359,0,"",8773
23,2,1762215900580,"Barrio Samoré",9360,0,"",8773
23,2,1762215900588,"Barrio Samoré",9361,0,"",8773
23,2,1762215900593,"Barrio Samoré",9362,0,"",8773
23,2,1762215900601,"Barrio Samoré",9363,0,"",8773
23,2,1762215900606,"Barrio Samoré",9364,0,"",8773
23,2,1762215900614,"Barrio Samoré",9365,0,"",8773
23,2,1762215900619,"Barrio Samoré",9366,0,"",8773
23,2,1762215900718,"Barrio Samoré",9367,0,"",8773
23,2,1762215900723,"Barrio Samoré",9368,0,"",8773
23,2,1762215900731,"Barrio Samoré",9369,0,"",8773
23,2,1762215900736,"Barrio Samoré",9370,0,"",8773
23,2,1762215900744,"Barrio Samoré",9371,0,"",8773
23,2,1762215900749,"Barrio Samoré",9372,0,"",8773
23,2,1762215900757,"Barrio Samoré",9373,0,"",8773
23,2,1762215900762,"Barrio Samoré",9374,0,"",8773
23,2,1762215900770,"Barrio Samoré",9375,0,"",8773
23,2,1762215900775,"Barrio Samoré",9376,0,"",8773
23,2,1762215900783,"Barrio Samoré",9377,0,"",8773
23,2,1762215900788,"Barrio Samoré",9378,0,"",8773
23,2,1762215901394,"Barrio Samoré",9379,0,"",8773
23,2,1762215901412,"Barrio Samoré",9380,0,"",8773
23,2,1762215901433,"Barrio Samoré",9381,0,"",8773
23,2,1762215901451,"Barrio Samoré",9382,0,"",8773
23,2,1762215901563,"Barrio Samoré",9383,0,"",8773
23,2,1762215901581,"Barrio Samoré",9384,0,"",8773
23,2,1762215901602,"Barrio Samoré",9385,0,"",8773
23,2,1762215901620,"Barrio Samoré",9386,0,"",8773
23,2,1762215901732,"Barrio Samoré",9387,0,"",8773
23,2,1762215901750,"Barrio Samoré",9388,0,"",8773
23,2,1762215901771,"Barrio Samoré",9389,0,"",8773
23,2,1762215901789,"Barrio Samoré",9390,0,"",8773
23,2,1762215901901,"Barrio Samoré",9391,0,"",8773
