,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
16646,8787,-34.61319119,-58.4249409073,161
16647,8787,-34.6132251142,-58.4250178792,162
16648,8787,-34.6134701614,-58.4255758377,163
16649,8787,-34.6137031116,-58.4260908139,164
16650,8787,-34.6137331545,-58.4261558266,165
16651,8787,-34.6137641901,-58.4262238068,166
16652,8787,-34.6140471281,-58.42687979,167
16653,8787,-34.6143451228,-58.4275477331,168
16654,8787,-34.6143831022,-58.4276237161,169
16655,8787,-34.6144141396,-58.4277007813,170
16656,8787,-34.6149031167,-58.428787683,171
16657,8787,-34.6151021332,-58.4292306484,172
16658,8787,-34.6151041184,-58.4292366736,173
16659,8787,-34.6154531654,-58.4300326893,174
16660,8787,-34.6155031396,-58.4301276472,175
16661,8787,-34.6155411185,-58.4302076797,176
16662,8787,-34.6155601558,-58.4302576795,177
16663,8787,-34.6156601154,-58.4304905878,178
16664,8787,-34.6157700853,-58.4307346455,179
16665,8787,-34.6158091489,-58.4308266403,180
16666,8787,-34.6159921025,-58.4312426391,181
16667,8787,-34.6160420818,-58.4313606234,182
16668,8787,-34.616080149,-58.4314366096,183
16669,8787,-34.6161181302,-58.4315286055,184
16670,8787,-34.6161340983,-58.4315665548,185
16671,8787,-34.6161681082,-58.4316425428,186
16672,8787,-34.6163020749,-58.4319515325,187
16673,8787,-34.6164201602,-58.4322115107,188
16674,8787,-34.6165460935,-58.4324895652,189
16675,8787,-34.6165580935,-58.4325245483,190
16676,8787,-34.6165840748,-58.4325855196,191
16677,8787,-34.6167071194,-58.4328525133,192
16678,8787,-34.616856149,-58.4331995473,193
16679,8787,-34.6174911261,-58.4346284265,194
16680,8787,-34.6175371317,-58.4347313958,195
16681,8787,-34.6176130878,-58.434910447,196
16682,8787,-34.6176321231,-58.4349604491,197
16683,8787,-34.6177200746,-58.4351593742,198
16684,8787,-34.617759134,-58.4352474158,199
16685,8787,-34.6177701385,-58.4352694482,200
16686,8787,-34.6177780762,-58.4352854555,201
16687,8787,-34.6179841067,-58.4357513851,202
16688,8787,-34.6182481323,-58.4363273897,203
16689,8787,-34.6183020763,-58.4364573415,204
16690,8787,-34.6183551178,-58.4365833362,205
16691,8787,-34.6185960515,-58.4371263436,206
16692,8787,-34.6188451002,-58.4376832931,207
16693,8787,-34.6188720715,-58.4377483149,208
16694,8787,-34.618898051,-58.437813337,209
16695,8787,-34.6191540404,-58.4383782936,210
16696,8787,-34.6194101197,-58.4389552163,211
16697,8787,-34.6194360986,-58.4390202392,212
16698,8787,-34.6194710942,-58.4390892172,213
16699,8787,-34.619711115,-58.4396312499,214
16700,8787,-34.6199860409,-58.4402571957,215
16701,8787,-34.6201501113,-58.4406321358,216
16702,8787,-34.620185108,-58.4407121783,217
16703,8787,-34.620416744,-58.4412119502,218
16704,8787,-34.6208181002,-58.4411081328,219
16705,8787,-34.6209493294,-58.4410925382,220
16706,8787,-34.6215140208,-58.4409961427,221
16707,8787,-34.6219340665,-58.4409571727,222
16708,8787,-34.62199907,-58.4409491499,223
16709,8787,-34.6220299933,-58.4409411363,224
16710,8787,-34.6221059962,-58.4409331105,225
16711,8787,-34.6221750576,-58.4409291342,226
16712,8787,-34.6223850341,-58.4409021833,227
16713,8787,-34.6227750565,-58.4408621411,228
16714,8787,-34.622886042,-58.4408581535,229
16715,8787,-34.6230039684,-58.4408461585,230
16716,8787,-34.6237730115,-58.4407551018,231
16717,8787,-34.6238449573,-58.4407471668,232
16718,8787,-34.6239260086,-58.4407361709,233
16719,8787,-34.6249190054,-58.4406331778,234
16720,8787,-34.624996,-58.4406251512,235
16721,8787,-34.6250720022,-58.4406131669,236
16722,8787,-34.62536294,-58.4405780965,237
16723,8787,-34.6256949904,-58.4405421151,238
16724,8787,-34.6259859311,-58.4405221562,239
16725,8787,-34.6260279439,-58.4405141389,240
16726,8787,-34.6264329309,-58.4404661733,241
16727,8787,-34.6264518931,-58.4406201675,242
16728,8787,-34.6264749191,-58.4408111314,243
16729,8787,-34.6265009223,-58.4410141482,244
16730,8787,-34.626871887,-58.4407901551,245
16731,8787,-34.6271819095,-58.4405981101,246
16732,8787,-34.6273688784,-58.4404821086,247
16733,8787,-34.6274149448,-58.4404551098,248
16734,8787,-34.6275938888,-58.4403361413,249
16735,8787,-34.6276708763,-58.4402901535,250
16736,8787,-34.6277429055,-58.4402471355,251
16737,8787,-34.6287449028,-58.4396001689,252
16738,8787,-34.6288208961,-58.4395431155,253
